"Stn Name","CIMIS Region","Date","Hour","Jul","ETo (in)","qc","Precip (in)","Solar","Vap Pres (mBars)","T_out","RTP","Air Temp (F)","qc","Rel Hum (%)","qc","Dew Point (F)","qc","Wind Speed (mph)","qc","Wind Dir (0-360)","qc","Soil Temp (F)","qc"
"Pomona","Los Angeles Basin","12/2/2019",500,336,0," ",0,1,7.9,8.27777777777778,0.03864976,46.9," ",73," ",38.6," ",3.8," ",31," ",53," "
"Pomona","Los Angeles Basin","12/2/2019",600,336,0," ",0,0,7.8,6.61111111111111,0.04604319,43.9," ",80," ",38," ",1.6," ",19," ",52.9," "
"Pomona","Los Angeles Basin","12/2/2019",700,336,0," ",0,11,7.9,6.27777777777778,0.055314724,43.3," ",83," ",38.4," ",1.3," ",16," ",52.9," "
"Pomona","Los Angeles Basin","12/2/2019",800,336,0,"R",0,249,8.9,7.88888888888889,0.050075878,46.2," ",84," ",41.5," ",1,"I",21," ",52.8," "
"Pomona","Los Angeles Basin","12/2/2019",900,336,0," ",0,563,8.9,12.5555555555556,0.039483746,54.6," ",61," ",41.5," ",2.6," ",48," ",52.8," "
"Pomona","Los Angeles Basin","12/2/2019",1000,336,0.01," ",0,897,8.5,13.6666666666667,0.034793184,56.6," ",54," ",40.3," ",5.5," ",72," ",52.7," "
"Pomona","Los Angeles Basin","12/2/2019",1100,336,0.01," ",0,1006,8.6,15.8888888888889,0.032596676,60.6," ",47," ",40.6," ",3.9," ",75," ",52.7," "
"Pomona","Los Angeles Basin","12/2/2019",1200,336,0.01," ",0,951,8.4,18,0.031794468,64.4," ",41," ",39.9," ",3.5," ",86," ",52.6," "
"Pomona","Los Angeles Basin","12/2/2019",1300,336,0.01," ",0,887,8.5,19.3333333333333,0.03109009,66.8," ",38," ",40.5," ",2.5," ",99," ",52.7," "
"Pomona","Los Angeles Basin","12/2/2019",1400,336,0.01," ",0,999,8.1,20.6111111111111,0.033650158,69.1," ",33," ",39.1," ",2.6," ",39," ",52.7," "
"Pomona","Los Angeles Basin","12/2/2019",1500,336,0.01," ",0,712,8.4,21.4444444444444,0.03636574,70.6," ",33," ",39.9," ",2," ",283," ",52.8," "
"Pomona","Los Angeles Basin","12/2/2019",1600,336,0," ",0,345,9.3,20.7777777777778,0.045175956,69.4," ",38," ",42.5," ",2.6," ",257," ",52.8," "
"Pomona","Los Angeles Basin","12/2/2019",1700,336,0," ",0,45,9.1,17.6666666666667,0.054369812,63.8," ",45," ",42.1," ",2.4," ",251," ",53," "
"Pomona","Los Angeles Basin","12/2/2019",1800,336,0," ",0,0,9.5,15.3333333333333,0.065199388,59.6," ",54," ",43.1," ",2," ",260," ",53.1," "
"Pomona","Los Angeles Basin","12/2/2019",1900,336,0," ",0,0,10,13.1111111111111,0.062455726,55.6," ",66," ",44.5," ",1.5," ",212," ",53.2," "
"Pomona","Los Angeles Basin","12/2/2019",2000,336,0," ",0,0,10.3,11.2222222222222,0.057758476,52.2," ",77," ",45.4," ",1.1," ",31," ",53.3," "
"Pomona","Los Angeles Basin","12/2/2019",2100,336,0,"R",0,0,10.3,10.3888888888889,0.052744476,50.7," ",82," ",45.4," ",1,"I",94," ",53.3," "
"Pomona","Los Angeles Basin","12/2/2019",2200,336,0,"R",0,0,10.4,10,0.049599674,50," ",84," ",45.5," ",1,"I",95," ",53.4," "
"Pomona","Los Angeles Basin","12/2/2019",2300,336,0,"R",0,1,10.4,9.5,0.043510238,49.1," ",88," ",45.6," ",1,"I",23," ",53.4," "
"Pomona","Los Angeles Basin","12/2/2019",2400,336,0," ",0,2,10.3,9.11111111111111,0.040305598,48.4," ",89," ",45.3," ",1.1," ",48," ",53.4," "
"Pomona","Los Angeles Basin","12/3/2019",100,337,0," ",0,3,10.2,9.11111111111111,0.03433836,48.4," ",89," ",45.1," ",1.3," ",22," ",53.4," "
"Pomona","Los Angeles Basin","12/3/2019",200,337,0," ",0,2,10.3,9.05555555555555,0.03463286,48.3," ",89," ",45.2," ",1.2," ",30," ",53.4," "
"Pomona","Los Angeles Basin","12/3/2019",300,337,0," ",0,1,10.3,8.94444444444445,0.032387364,48.1," ",90," ",45.4," ",1.4," ",43," ",53.3," "
"Pomona","Los Angeles Basin","12/3/2019",400,337,0," ",0,1,10.3,10.3333333333333,0.032111584,50.6," ",82," ",45.3," ",3.4," ",25," ",53.3," "
"Pomona","Los Angeles Basin","12/3/2019",500,337,0," ",0,1,10,11.1111111111111,0.03297537,52," ",75," ",44.5," ",4.1," ",31," ",53.3," "
"Pomona","Los Angeles Basin","12/3/2019",600,337,0," ",0,0,10,10.9444444444444,0.037504552,51.7," ",76," ",44.6," ",3.2," ",37," ",53.2," "
"Pomona","Los Angeles Basin","12/3/2019",700,337,0," ",0,5,10,10.6666666666667,0.0485457,51.2," ",78," ",44.4," ",2.3," ",36," ",53.2," "
"Pomona","Los Angeles Basin","12/3/2019",800,337,0," ",0,82,10.2,11.1666666666667,0.048963306,52.1," ",77," ",45.1," ",2.6," ",16," ",53.2," "
"Pomona","Los Angeles Basin","12/3/2019",900,337,0," ",0,224,10.4,13.0555555555556,0.040247908,55.5," ",69," ",45.5," ",1.9," ",52," ",53.1," "
"Pomona","Los Angeles Basin","12/3/2019",1000,337,0," ",0,406,11.1,15.1111111111111,0.033858272,59.2," ",65," ",47.3," ",1.9," ",351," ",53.1," "
"Pomona","Los Angeles Basin","12/3/2019",1100,337,0," ",0,436,10.4,16.6666666666667,0.032976326,62," ",55," ",45.5," ",3.1," ",41," ",53.1," "
"Pomona","Los Angeles Basin","12/3/2019",1200,337,0," ",0,396,9.7,17,0.030222064,62.6," ",50," ",43.8," ",3.4," ",64," ",53.1," "
"Pomona","Los Angeles Basin","12/3/2019",1300,337,0," ",0,433,10.3,17.7222222222222,0.031316332,63.9," ",51," ",45.4," ",2.6," ",64," ",53.1," "
"Pomona","Los Angeles Basin","12/3/2019",1400,337,0," ",0,414,10.3,18.5555555555556,0.034025934,65.4," ",48," ",45.4," ",3.7," ",42," ",53.2," "
"Pomona","Los Angeles Basin","12/3/2019",1500,337,0," ",0,212,10.5,18.7777777777778,0.038816312,65.8," ",48," ",45.8," ",2.6," ",27," ",53.2," "
"Pomona","Los Angeles Basin","12/3/2019",1600,337,0," ",0,84,10.9,18,0.045107736,64.4," ",53," ",46.7," ",2.3," ",340," ",53.3," "
"Pomona","Los Angeles Basin","12/3/2019",1700,337,0," ",0,19,11.8,16.2222222222222,0.050117258,61.2," ",64," ",48.9," ",1.8," ",48," ",53.4," "
"Pomona","Los Angeles Basin","12/3/2019",1800,337,0," ",0,0,12,15.0555555555556,0.068447314,59.1," ",70," ",49.3," ",2," ",23," ",53.4," "
"Pomona","Los Angeles Basin","12/3/2019",1900,337,0," ",0,0,11.5,16.2222222222222,0.060343644,61.2," ",62," ",48.2," ",3," ",359," ",53.5," "
"Pomona","Los Angeles Basin","12/3/2019",2000,337,0," ",0,0,12.1,15.1111111111111,0.05623445,59.2," ",70," ",49.5," ",1.5," ",332," ",53.6," "
"Pomona","Los Angeles Basin","12/3/2019",2100,337,0," ",0,0,11.7,15.3333333333333,0.04986597,59.6," ",67," ",48.7," ",2.4," ",229," ",53.7," "
"Pomona","Los Angeles Basin","12/3/2019",2200,337,0," ",0,0,11.5,15.1111111111111,0.046040906,59.2," ",67," ",48.2," ",1.5," ",55," ",53.7," "
"Pomona","Los Angeles Basin","12/3/2019",2300,337,0," ",0,0,11.9,14.3888888888889,0.04066829,57.9," ",73," ",49.2," ",2.4," ",289," ",53.7," "
"Pomona","Los Angeles Basin","12/3/2019",2400,337,0," ",0,0,11.9,14.6666666666667,0.036655972,58.4," ",72," ",49.2," ",2," ",207," ",53.8," "
"Pomona","Los Angeles Basin","12/4/2019",100,338,0," ",0,0,12.5,14.1111111111111,0.034138944,57.4," ",77," ",50.4," ",2.4," ",30," ",53.8," "
"Pomona","Los Angeles Basin","12/4/2019",200,338,0," ",0,0,12.1,14.3888888888889,0.032870366,57.9," ",74," ",49.7," ",2," ",8," ",53.9," "
"Pomona","Los Angeles Basin","12/4/2019",300,338,0," ",0.01,0,13.7,14.1666666666667,0.03144708,57.5," ",85," ",52.9," ",1.7," ",228," ",54," "
"Pomona","Los Angeles Basin","12/4/2019",400,338,0," ",0.08,0,12.9,13.1111111111111,0.031612056,55.6," ",86," ",51.4," ",1.9," ",235," ",54.6," "
"Pomona","Los Angeles Basin","12/4/2019",500,338,0," ",0.07,0,13.2,12.6111111111111,0.03256603,54.7," ",91," ",52," ",2.9," ",36," ",54.5," "
"Pomona","Los Angeles Basin","12/4/2019",600,338,0," ",0.07,0,13.5,12.4444444444444,0.037857212,54.4," ",94," ",52.6," ",3.1," ",3," ",54.6," "
"Pomona","Los Angeles Basin","12/4/2019",700,338,0," ",0.11,2,13.5,12.1111111111111,0.045251022,53.8," ",96," ",52.6," ",3.9," ",0," ",54.6," "
"Pomona","Los Angeles Basin","12/4/2019",800,338,0," ",0.04,44,13.2,11.7222222222222,0.047914422,53.1," ",96," ",51.9," ",4.2," ",64," ",54.7," "
"Pomona","Los Angeles Basin","12/4/2019",900,338,0," ",0.07,65,13.4,11.9444444444444,0.045650116,53.5," ",96," ",52.4," ",6.4," ",72," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1000,338,0," ",0.14,54,13.6,12.2222222222222,0.043949376,54," ",96," ",52.8," ",5.8," ",81," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1100,338,0," ",0.56,26,13.5,12,0.040557538,53.6," ",97," ",52.6," ",3.7," ",41," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1200,338,0," ",0.08,95,14,12.2777777777778,0.039512958,54.1," ",98," ",53.6," ",3.2," ",49," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1300,338,0," ",0,167,14.8,13.1111111111111,0.035499988,55.6," ",98," ",55," ",1.9," ",54," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1400,338,0," ",0.01,236,15.3,13.6666666666667,0.038123376,56.6," ",98," ",56," ",2.5," ",78," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1500,338,0," ",0,141,16,14.2222222222222,0.039056386,57.6," ",98," ",57.1," ",1.8," ",110," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1600,338,0," ",0.01,67,15.9,14.3888888888889,0.044703756,57.9," ",97," ",57.1," ",2.6," ",154," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1700,338,0," ",0,29,15.6,14.1111111111111,0.051246274,57.4," ",97," ",56.5," ",2.8," ",192," ",54.8," "
"Pomona","Los Angeles Basin","12/4/2019",1800,338,0," ",0,0,15.6,14.0555555555556,0.063807982,57.3," ",97," ",56.5," ",1.4," ",207," ",54.9," "
"Pomona","Los Angeles Basin","12/4/2019",1900,338,0," ",0,0,15.4,13.7222222222222,0.057583222,56.7," ",98," ",56.1," ",3.6," ",186," ",54.9," "
"Pomona","Los Angeles Basin","12/4/2019",2000,338,0," ",0,0,15.1,13.4444444444444,0.052225382,56.2," ",98," ",55.6," ",2.1," ",202," ",55," "
"Pomona","Los Angeles Basin","12/4/2019",2100,338,0," ",0,0,14.8,13.1111111111111,0.04799408,55.6," ",98," ",55.1," ",1.5," ",208," ",55," "
"Pomona","Los Angeles Basin","12/4/2019",2200,338,0," ",0,0,14.5,12.6666666666667,0.044116168,54.8," ",99," ",54.4," ",1.3," ",210," ",55," "
"Pomona","Los Angeles Basin","12/4/2019",2300,338,0," ",0.01,0,13.7,11.6666666666667,0.038098016,53," ",100," ",52.9," ",1.6," ",32," ",55," "
"Pomona","Los Angeles Basin","12/4/2019",2400,338,0," ",0,0,13.5,11.4444444444444,0.03568943,52.6," ",100," ",52.6," ",1," ",86," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",100,339,0,"R",0,0,13.6,11.5555555555556,0.036477382,52.8," ",100," ",52.8," ",1,"I",39," ",55.1," "
"Pomona","Los Angeles Basin","12/5/2019",200,339,0," ",0,0,14,12,0.034803606,53.6," ",100," ",53.6," ",1.8," ",40," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",300,339,0," ",0,0,14.3,12.2777777777778,0.032419276,54.1," ",100," ",54.1," ",2.4," ",55," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",400,339,0," ",0,0,14.3,12.2777777777778,0.033042294,54.1," ",100," ",54.1," ",2.1," ",94," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",500,339,0," ",0,0,13.6,11.5555555555556,0.036129998,52.8," ",100," ",52.7," ",1.6," ",41," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",600,339,0," ",0,0,12.4,10.2222222222222,0.040050608,50.4," ",100," ",50.3," ",1.3," ",64," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",700,339,0," ",0,6,11.8,9.33333333333333,0.047137588,48.8," ",100," ",48.8," ",1.7," ",19," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",800,339,0," ",0,67,13.1,11,0.046305504,51.8," ",100," ",51.8," ",2.5," ",23," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",900,339,0," ",0,429,14.2,12.1666666666667,0.037034166,53.9," ",100," ",53.9," ",3.1," ",69," ",54.9," "
"Pomona","Los Angeles Basin","12/5/2019",1000,339,0.01," ",0,766,14.9,13.9444444444444,0.02873905,57.1," ",94," ",55.3," ",3.3," ",99," ",54.9," "
"Pomona","Los Angeles Basin","12/5/2019",1100,339,0.01," ",0,1064,14.4,15.5555555555556,0.028272218,60," ",81," ",54.3," ",4.2," ",108," ",54.8," "
"Pomona","Los Angeles Basin","12/5/2019",1200,339,0.01," ",0,1181,13.4,16.9444444444444,0.027123116,62.5," ",69," ",52.4," ",3.3," ",160," ",54.8," "
"Pomona","Los Angeles Basin","12/5/2019",1300,339,0.01," ",0,1045,12.3,17.8888888888889,0.027017412,64.2," ",60," ",50.1," ",2.5," ",258," ",54.8," "
"Pomona","Los Angeles Basin","12/5/2019",1400,339,0.01," ",0,814,11.6,18.2222222222222,0.0284626,64.8," ",56," ",48.6," ",2.3," ",209," ",54.8," "
"Pomona","Los Angeles Basin","12/5/2019",1500,339,0.01," ",0,564,11,18.6111111111111,0.03335246,65.5," ",51," ",47.1," ",1.6," ",242," ",54.9," "
"Pomona","Los Angeles Basin","12/5/2019",1600,339,0," ",0,257,11.4,17.8333333333333,0.04328983,64.1," ",56," ",48.1," ",2," ",281," ",55," "
"Pomona","Los Angeles Basin","12/5/2019",1700,339,0," ",0,43,12.3,16,0.053041934,60.8," ",68," ",50," ",1," ",322," ",55.1," "
"Pomona","Los Angeles Basin","12/5/2019",1800,339,0,"R",0,0,12.6,13.4444444444444,0.065763896,56.2," ",82," ",50.6," ",1,"I",18," ",55.2," "
"Pomona","Los Angeles Basin","12/5/2019",1900,339,0," ",0,0,12.6,12.5,0.059588918,54.5," ",87," ",50.6," ",1.1," ",35," ",55.3," "
"Pomona","Los Angeles Basin","12/5/2019",2000,339,0,"R",0,0,12.3,11.6111111111111,0.05635343,52.9," ",90," ",50," ",1,"I",15," ",55.3," "
"Pomona","Los Angeles Basin","12/5/2019",2100,339,0," ",0,0,12.5,11.7777777777778,0.05152097,53.2," ",91," ",50.6," ",2," ",30," ",55.4," "
"Pomona","Los Angeles Basin","12/5/2019",2200,339,0," ",0,0,12.4,12.7222222222222,0.04470252,54.9," ",84," ",50.2," ",3.3," ",51," ",55.4," "
"Pomona","Los Angeles Basin","12/5/2019",2300,339,0," ",0,0,12.2,12.7777777777778,0.044146974,55," ",83," ",49.9," ",3.5," ",27," ",55.4," "
"Pomona","Los Angeles Basin","12/5/2019",2400,339,0," ",0,0,11.8,12.8888888888889,0.037229758,55.2," ",79," ",49," ",2.3," ",334," ",55.3," "
"Pomona","Los Angeles Basin","12/6/2019",100,340,0," ",0,0,11.6,12.7222222222222,0.03459912,54.9," ",79," ",48.4," ",3," ",33," ",55.3," "
"Pomona","Los Angeles Basin","12/6/2019",200,340,0," ",0,0,11.6,12.1111111111111,0.032378228,53.8," ",82," ",48.6," ",4.2," ",14," ",55.3," "
"Pomona","Los Angeles Basin","12/6/2019",300,340,0," ",0,0,12,12.1111111111111,0.031664556,53.8," ",85," ",49.4," ",3.4," ",0," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",400,340,0," ",0.01,0,11.5,11.4444444444444,0.032039502,52.6," ",85," ",48.3," ",3.1," ",11," ",55.1," "
"Pomona","Los Angeles Basin","12/6/2019",500,340,0," ",0,0,11.2,11.3333333333333,0.033977744,52.4," ",83," ",47.6," ",4.4," ",45," ",55.1," "
"Pomona","Los Angeles Basin","12/6/2019",600,340,0," ",0,0,11,11.1666666666667,0.036183256,52.1," ",83," ",47," ",3.8," ",8," ",55.1," "
"Pomona","Los Angeles Basin","12/6/2019",700,340,0," ",0,6,10.9,11,0.045761424,51.8," ",83," ",46.8," ",3.8," ",336," ",55.1," "
"Pomona","Los Angeles Basin","12/6/2019",800,340,0," ",0,173,10.9,11.7777777777778,0.043632006,53.2," ",79," ",46.8," ",2.9," ",22," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",900,340,0," ",0,563,11.5,14.6111111111111,0.03377302,58.3," ",69," ",48.2," ",2.3," ",358," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",1000,340,0.01," ",0,678,11.5,16.2777777777778,0.028243456,61.3," ",62," ",48.1," ",5.4," ",77," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",1100,340,0.01," ",0,754,11.4,17.6666666666667,0.026710992,63.8," ",57," ",48.1," ",4.3," ",132," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",1200,340,0.01," ",0,760,10.9,19,0.024303624,66.2," ",50," ",46.9," ",3.2," ",136," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",1300,340,0.01," ",0,699,11,20.1111111111111,0.024415238,68.2," ",47," ",47," ",3," ",273," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",1400,340,0," ",0,199,11.5,18.5555555555556,0.027113392,65.4," ",54," ",48.1," ",4.2," ",294," ",55.2," "
"Pomona","Los Angeles Basin","12/6/2019",1500,340,0," ",0.02,63,13.7,16.9444444444444,0.030610604,62.5," ",71," ",53," ",2.4," ",200," ",55.3," "
"Pomona","Los Angeles Basin","12/6/2019",1600,340,0," ",0.04,40,14.7,15.3333333333333,0.038253076,59.6," ",84," ",54.8," ",3.1," ",73," ",55.3," "
"Pomona","Los Angeles Basin","12/6/2019",1700,340,0," ",0,17,15,15.0555555555556,0.048879796,59.1," ",88," ",55.4," ",3.3," ",182," ",55.4," "
"Pomona","Los Angeles Basin","12/6/2019",1800,340,0," ",0.03,0,15.2,14.6111111111111,0.060428622,58.3," ",92," ",55.9," ",2.1," ",213," ",55.5," "
"Pomona","Los Angeles Basin","12/6/2019",1900,340,0," ",0,0,15.4,14.3333333333333,0.051699492,57.8," ",94," ",56.2," ",1.3," ",347," ",55.6," "
"Pomona","Los Angeles Basin","12/6/2019",2000,340,0," ",0,0,15.4,14.2222222222222,0.04608574,57.6," ",95," ",56.2," ",2.2," ",22," ",55.6," "
"Pomona","Los Angeles Basin","12/6/2019",2100,340,0," ",0,0,15.5,14.2777777777778,0.04317435,57.7," ",95," ",56.4," ",2.1," ",181," ",55.7," "
"Pomona","Los Angeles Basin","12/6/2019",2200,340,0," ",0,0,15.5,14.1111111111111,0.041593812,57.4," ",96," ",56.3," ",2.4," ",39," ",55.7," "
"Pomona","Los Angeles Basin","12/6/2019",2300,340,0," ",0,0,14.8,13.3888888888889,0.037831758,56.1," ",97," ",55.1," ",1.7," ",344," ",55.8," "
"Pomona","Los Angeles Basin","12/6/2019",2400,340,0," ",0,0,15.5,14,0.034694902,57.2," ",97," ",56.3," ",2.5," ",37," ",55.8," "
"Pomona","Los Angeles Basin","12/7/2019",100,341,0," ",0.01,0,15.2,14.2222222222222,0.036184374,57.6," ",94," ",55.8," ",2.8," ",28," ",55.8," "
"Pomona","Los Angeles Basin","12/7/2019",200,341,0," ",0.03,0,15.4,14,0.032042322,57.2," ",96," ",56.2," ",1.8," ",16," ",55.8," "
"Pomona","Los Angeles Basin","12/7/2019",300,341,0," ",0,0,15.3,13.7777777777778,0.030740058,56.8," ",97," ",56.1," ",2.6," ",39," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",400,341,0," ",0.04,0,15.4,14,0.030453026,57.2," ",96," ",56.1," ",2.2," ",51," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",500,341,0," ",0.01,0,15.5,13.9444444444444,0.03084854,57.1," ",97," ",56.3," ",3.9," ",45," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",600,341,0," ",0.02,0,15.5,13.7222222222222,0.03411433,56.7," ",98," ",56.3," ",4," ",48," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",700,341,0," ",0,2,15.6,13.7777777777778,0.038283904,56.8," ",99," ",56.5," ",3.5," ",30," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",800,341,0," ",0,38,15.9,14.0555555555556,0.03692934,57.3," ",99," ",57.1," ",2.8," ",44," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",900,341,0," ",0,109,16.2,14.6111111111111,0.033820784,58.3," ",97," ",57.5," ",3.9," ",36," ",55.9," "
"Pomona","Los Angeles Basin","12/7/2019",1000,341,0," ",0,334,16.6,15.5,0.030661268,59.9," ",94," ",58.2," ",4.2," ",67," ",56," "
"Pomona","Los Angeles Basin","12/7/2019",1100,341,0," ",0,234,16.7,16.1666666666667,0.029381842,61.1," ",91," ",58.5," ",3," ",64," ",56," "
"Pomona","Los Angeles Basin","12/7/2019",1200,341,0," ",0.01,384,17.2,16.5555555555556,0.026801658,61.8," ",91," ",59.2," ",2.8," ",35," ",56," "
"Pomona","Los Angeles Basin","12/7/2019",1300,341,0," ",0,409,17,17.0555555555556,0.02843905,62.7," ",87," ",58.8," ",2.3," ",61," ",56," "
"Pomona","Los Angeles Basin","12/7/2019",1400,341,0," ",0,229,16.6,17.5,0.02974479,63.5," ",83," ",58.2," ",2.5," ",325," ",56.1," "
"Pomona","Los Angeles Basin","12/7/2019",1500,341,0," ",0,93,16.6,17.1666666666667,0.03375075,62.9," ",85," ",58.2," ",3.8," ",298," ",56.1," "
"Pomona","Los Angeles Basin","12/7/2019",1600,341,0," ",0,18,16.1,16.6666666666667,0.038179162,62," ",85," ",57.4," ",2.8," ",215," ",56.2," "
"Pomona","Los Angeles Basin","12/7/2019",1700,341,0," ",0,3,15.7,16.1111111111111,0.043590282,61," ",86," ",56.6," ",2.2," ",227," ",56.3," "
"Pomona","Los Angeles Basin","12/7/2019",1800,341,0," ",0,0,16.1,15.6111111111111,0.053571338,60.1," ",91," ",57.3," ",1.7," ",176," ",56.3," "
